Host_Prot	Path_Prot	Similarity_Score
UNIPROT_AC:P04196	UNIPROT_AC:O41927	0.045
UNIPROT_AC:Q5TFQ8	UNIPROT_AC:Q900A7	0.01
UNIPROT_AC:P82790	UNIPROT_AC:P0AA25	0.135
UNIPROT_AC:Q01085	UNIPROT_AC:P74989	0.01
UNIPROT_AC:O95069	UNIPROT_AC:Q82506	0.155
UNIPROT_AC:P07339	UNIPROT_AC:P06929	0.035
UNIPROT_AC:P0DMU3	UNIPROT_AC:B4URE8	0.0
UNIPROT_AC:Q92753	UNIPROT_AC:P0C739	0.05
UNIPROT_AC:C9JCN9	UNIPROT_AC:P13285	0.0
UNIPROT_AC:P50991	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:B7Z6V9	UNIPROT_AC:Q81RN3	0.03
UNIPROT_AC:P24158	UNIPROT_AC:B4URF7	0.105
UNIPROT_AC:P19838	UNIPROT_AC:P04585	0.105
UNIPROT_AC:Q86V25	UNIPROT_AC:P18092	0.055
UNIPROT_AC:Q9NQZ3	UNIPROT_AC:P0C737	0.02
UNIPROT_AC:A0A143FYJ9	UNIPROT_AC:Q3SBS4	0.045
UNIPROT_AC:Q14974	UNIPROT_AC:P03470	0.03
UNIPROT_AC:P18136	UNIPROT_AC:P03243	0.1075
UNIPROT_AC:P15884	UNIPROT_AC:P05780	0.03
UNIPROT_AC:D6MLL5	UNIPROT_AC:Q8ZCU2	0.035
UNIPROT_AC:Q9NPB1	UNIPROT_AC:P03470	0.1
UNIPROT_AC:Q8TC56	UNIPROT_AC:P03508	0.03
UNIPROT_AC:Q6DN90	UNIPROT_AC:P04620	0.03
UNIPROT_AC:Q8N1B4	UNIPROT_AC:P24830	0.035
UNIPROT_AC:F5GYD4	UNIPROT_AC:Q8ZBP5	0.0
UNIPROT_AC:P46108	UNIPROT_AC:Q0A2H0	0.12
UNIPROT_AC:D4Q8H3	UNIPROT_AC:Q81US9	0.01
UNIPROT_AC:P0DJJ0	UNIPROT_AC:P10218	0.025
UNIPROT_AC:Q9Y3T9	UNIPROT_AC:Q81P27	0.08
UNIPROT_AC:Q14696	UNIPROT_AC:P36799	0.045
UNIPROT_AC:P26641	UNIPROT_AC:Q8CZP1	0.08
UNIPROT_AC:F8R1C6	UNIPROT_AC:O56264	0.045
UNIPROT_AC:P78527	UNIPROT_AC:P03427	0.155
UNIPROT_AC:A0A0H5CVR6	UNIPROT_AC:Q6VE52	0.045
UNIPROT_AC:D5FZJ7	UNIPROT_AC:Q7CFP7	0.03
UNIPROT_AC:P37840	UNIPROT_AC:P13711	0.19
UNIPROT_AC:Q6NTF9	UNIPROT_AC:P06430	0.025
UNIPROT_AC:P0CG48	UNIPROT_AC:P00924	0.095
UNIPROT_AC:O75223	UNIPROT_AC:P03470	0.08
UNIPROT_AC:Q8N883	UNIPROT_AC:P14079	0.13
UNIPROT_AC:A8MZF0	UNIPROT_AC:P0CK48	0.0
UNIPROT_AC:Q8WUZ0	UNIPROT_AC:P04578	0.045
UNIPROT_AC:Q9UMX0	UNIPROT_AC:P13130	0.07
UNIPROT_AC:P01871	UNIPROT_AC:Q7CGN8	0.0425
UNIPROT_AC:P49638	UNIPROT_AC:P23057	0.145
UNIPROT_AC:O75843	UNIPROT_AC:Q5NI89	0.055
UNIPROT_AC:Q9NQ40	UNIPROT_AC:P36801	0.03
UNIPROT_AC:Q9UPY3	UNIPROT_AC:Q77YF9	0.03
UNIPROT_AC:Q9H270	UNIPROT_AC:P03177	0.03
UNIPROT_AC:Q09030	UNIPROT_AC:Q6UK10	0.01
UNIPROT_AC:Q96CT7	UNIPROT_AC:P06428	0.03
UNIPROT_AC:O94905	UNIPROT_AC:P0C739	0.075
UNIPROT_AC:Q8BXQ3	UNIPROT_AC:P03129	0.075
UNIPROT_AC:P25067	UNIPROT_AC:B4URF2	0.025
UNIPROT_AC:Q7Z3Y7	UNIPROT_AC:Q91B85	0.0225
UNIPROT_AC:Q96HD1	UNIPROT_AC:P03177	0.03
UNIPROT_AC:Q96BD5	UNIPROT_AC:Q81KT8	0.045
UNIPROT_AC:Q9UNM6	UNIPROT_AC:P03454	0.045
UNIPROT_AC:Q8IUQ4	UNIPROT_AC:P03188	0.01
UNIPROT_AC:P25789	UNIPROT_AC:P05777	0.0425
UNIPROT_AC:B7Z778	UNIPROT_AC:P15682	0.0
UNIPROT_AC:O15079	UNIPROT_AC:P06430	0.045
UNIPROT_AC:O00716	UNIPROT_AC:P03070	0.1275
UNIPROT_AC:Q8TE12	UNIPROT_AC:P04601	0.06
UNIPROT_AC:Q13813	UNIPROT_AC:P06422	0.0525
UNIPROT_AC:A0A024R1N1	UNIPROT_AC:P15682	0.03
UNIPROT_AC:P52790	UNIPROT_AC:P03427	0.145
UNIPROT_AC:P09874	UNIPROT_AC:O92837	0.0125
UNIPROT_AC:Q95198	UNIPROT_AC:Q72497	0.0275
UNIPROT_AC:Q5T6X4	UNIPROT_AC:P36827	0.01
UNIPROT_AC:Q3ZCQ8	UNIPROT_AC:P03470	0.075
UNIPROT_AC:P60604	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:P54760	UNIPROT_AC:P24835	0.06
UNIPROT_AC:Q8N752	UNIPROT_AC:P03254	0.12
UNIPROT_AC:Q08DF2	UNIPROT_AC:Q89582	0.0375
UNIPROT_AC:Q9H7X0	UNIPROT_AC:P24835	0.0375
UNIPROT_AC:Q9NQ79	UNIPROT_AC:Q1HVI2	0.01
UNIPROT_AC:Q9BQE3	UNIPROT_AC:P15059	0.03
UNIPROT_AC:Q9UKJ0	UNIPROT_AC:Q9X6B0	0.04
UNIPROT_AC:Q6IBW4	UNIPROT_AC:P53286	0.07
UNIPROT_AC:Q96AG4	UNIPROT_AC:P03430	0.025
UNIPROT_AC:P52948	UNIPROT_AC:P30822	0.185
UNIPROT_AC:Q9BYV6-2	UNIPROT_AC:P38340	0.03
UNIPROT_AC:Q16867	UNIPROT_AC:Q89268	0.075
UNIPROT_AC:O95297	UNIPROT_AC:P0CK49	0.02
UNIPROT_AC:P51116	UNIPROT_AC:P03428	0.06
UNIPROT_AC:P06702	UNIPROT_AC:P14682	0.07
UNIPROT_AC:Q6ZQT0	UNIPROT_AC:P15659	0.0
UNIPROT_AC:Q60716	UNIPROT_AC:P08669	0.03
UNIPROT_AC:Q9P2Y5	UNIPROT_AC:Q89933	0.025
UNIPROT_AC:P49589	UNIPROT_AC:Q6VE52	0.055
UNIPROT_AC:E9PAS2	UNIPROT_AC:Q9QLP4	0.025
UNIPROT_AC:P63244	UNIPROT_AC:P24835	0.1175
UNIPROT_AC:A0A0A0MTA4	UNIPROT_AC:P31539	0.0
UNIPROT_AC:Q6IQ22	UNIPROT_AC:P03430	0.06
UNIPROT_AC:P62807	UNIPROT_AC:P04618	0.08
UNIPROT_AC:Q16658	UNIPROT_AC:H9XIJ5	0.045
UNIPROT_AC:Q8IVH4	UNIPROT_AC:P36778	0.08
UNIPROT_AC:P08240	UNIPROT_AC:B9UPF3	0.055
UNIPROT_AC:P20248	UNIPROT_AC:P06788	0.11
UNIPROT_AC:Q2TAC2	UNIPROT_AC:Q81VT8	0.04
UNIPROT_AC:Q9QXY7	UNIPROT_AC:P03129	0.095
UNIPROT_AC:P26196	UNIPROT_AC:P15682	0.03
UNIPROT_AC:H0UI37	UNIPROT_AC:P03427	0.0
UNIPROT_AC:Q13683	UNIPROT_AC:P04620	0.03
UNIPROT_AC:Q8N565	UNIPROT_AC:P06930	0.02
UNIPROT_AC:Q76KP1	UNIPROT_AC:O41949	0.02
UNIPROT_AC:Q96IT1	UNIPROT_AC:P03182	0.0525
UNIPROT_AC:Q15238	UNIPROT_AC:P88957	0.01
UNIPROT_AC:A0A087WYV9	UNIPROT_AC:Q7CIY7	0.03
UNIPROT_AC:Q8N878	UNIPROT_AC:Q2HRD4	0.02
UNIPROT_AC:Q53GA4	UNIPROT_AC:P04413	0.04
UNIPROT_AC:P33897	UNIPROT_AC:P41909	0.37
UNIPROT_AC:P41247	UNIPROT_AC:P36817	0.065
UNIPROT_AC:Q8IYL3	UNIPROT_AC:Q7CJF3	0.035
UNIPROT_AC:Q15633	UNIPROT_AC:Q6VE52	0.17
UNIPROT_AC:Q9EQQ4	UNIPROT_AC:Q8AZK7	0.03
UNIPROT_AC:Q96BQ5	UNIPROT_AC:P24835	0.0
UNIPROT_AC:A0A087WT97	UNIPROT_AC:Q7CJH1	0.0
UNIPROT_AC:Q8TC07	UNIPROT_AC:P05919	0.065
UNIPROT_AC:O95373	UNIPROT_AC:P03430	0.045
UNIPROT_AC:P45985	UNIPROT_AC:P0C739	0.0575
UNIPROT_AC:O43795	UNIPROT_AC:P15682	0.03
UNIPROT_AC:O43598	UNIPROT_AC:Q1H8W6	0.125
UNIPROT_AC:P28068	UNIPROT_AC:O57285	0.0425
UNIPROT_AC:C9JE40	UNIPROT_AC:Q0A2M3	0.0425
UNIPROT_AC:A0A0D9SGA5	UNIPROT_AC:P15682	0.0
UNIPROT_AC:K9M1U5	UNIPROT_AC:P03247	0.075
UNIPROT_AC:Q8N146	UNIPROT_AC:Q89268	0.035
UNIPROT_AC:Q32ZL2	UNIPROT_AC:P04608	0.045
UNIPROT_AC:O00337	UNIPROT_AC:P06932	0.0375
UNIPROT_AC:P12814	UNIPROT_AC:P0CAP7	0.045
UNIPROT_AC:P98179	UNIPROT_AC:P15682	0.03
UNIPROT_AC:P49721	UNIPROT_AC:P05777	0.065
UNIPROT_AC:P52162-2	UNIPROT_AC:P01110	0.205
UNIPROT_AC:B2RDK3	UNIPROT_AC:Q8ZED8	0.015
UNIPROT_AC:J3KSY2	UNIPROT_AC:P40507	0.025
UNIPROT_AC:L8E975	UNIPROT_AC:P03246	0.0
UNIPROT_AC:Q9Y383	UNIPROT_AC:P04608	0.125
UNIPROT_AC:P47934	UNIPROT_AC:P03255	0.045
UNIPROT_AC:Q6UWI4	UNIPROT_AC:Q82506	0.025
UNIPROT_AC:Q8IY92	UNIPROT_AC:P05928	0.045
UNIPROT_AC:P07305	UNIPROT_AC:P03070	0.04
UNIPROT_AC:Q9UMQ3	UNIPROT_AC:Q6SWA4	0.04
UNIPROT_AC:P21675	UNIPROT_AC:P03122	0.15
UNIPROT_AC:Q9H024	UNIPROT_AC:P15682	0.0
UNIPROT_AC:P27348	UNIPROT_AC:Q87644	0.03
UNIPROT_AC:P48995	UNIPROT_AC:Q5NEC0	0.105
UNIPROT_AC:P22061	UNIPROT_AC:P21698	0.04
UNIPROT_AC:P16144	UNIPROT_AC:P06921	0.045
UNIPROT_AC:Q17R60	UNIPROT_AC:P03430	0.0275
UNIPROT_AC:O14733	UNIPROT_AC:P0C788	0.02
UNIPROT_AC:Q96RD2	UNIPROT_AC:P0CK50	0.01
UNIPROT_AC:D6RCB8	UNIPROT_AC:Q7CHN2	0.0
UNIPROT_AC:Q8N5A5	UNIPROT_AC:P06429	0.1925
UNIPROT_AC:Q12906	UNIPROT_AC:A6H4P0	0.01
UNIPROT_AC:D3DXI1	UNIPROT_AC:P32381	0.0
UNIPROT_AC:Q9H4L5	UNIPROT_AC:P04585	0.07
UNIPROT_AC:A0A0A7C5F8	UNIPROT_AC:P36799	0.0275
UNIPROT_AC:Q06732	UNIPROT_AC:P03508	0.055
UNIPROT_AC:A0A087X0V7	UNIPROT_AC:P36046	0.0
UNIPROT_AC:P26641	UNIPROT_AC:P03454	0.1775
UNIPROT_AC:P54803	UNIPROT_AC:B4URE7	0.03
UNIPROT_AC:Q96MH7	UNIPROT_AC:Q0HD54	0.0
UNIPROT_AC:Q8N6L0	UNIPROT_AC:P32453	0.11
UNIPROT_AC:Q148B6	UNIPROT_AC:P27958	0.01
UNIPROT_AC:P13796	UNIPROT_AC:Q81LD0	0.055
UNIPROT_AC:P50995	UNIPROT_AC:P36817	0.04
UNIPROT_AC:Q15349	UNIPROT_AC:B4URF1	0.0275
UNIPROT_AC:Q99963	UNIPROT_AC:P04487	0.0575
UNIPROT_AC:P33993	UNIPROT_AC:P03433	0.0975
UNIPROT_AC:Q9H1K1	UNIPROT_AC:P06788	0.11
UNIPROT_AC:L8EB86	UNIPROT_AC:P53286	0.0
UNIPROT_AC:Q9Y219	UNIPROT_AC:Q81L14	0.065
UNIPROT_AC:Q2M1V0	UNIPROT_AC:P03508	0.045
UNIPROT_AC:Q9UH17	UNIPROT_AC:P69722	0.025
UNIPROT_AC:O14641	UNIPROT_AC:P38891	0.095
UNIPROT_AC:Q5W0U4	UNIPROT_AC:Q2PJP1	0.025
UNIPROT_AC:O15111	UNIPROT_AC:Q6TY28	0.13
UNIPROT_AC:P0CG48	UNIPROT_AC:P35719	0.055
UNIPROT_AC:O43175	UNIPROT_AC:P04544	0.075
UNIPROT_AC:O14981	UNIPROT_AC:P04608	0.13
UNIPROT_AC:Q9UBY0	UNIPROT_AC:Q2PJP1	0.11
UNIPROT_AC:Q6IEG0	UNIPROT_AC:P0C739	0.0275
UNIPROT_AC:Q86TI0	UNIPROT_AC:P29311	0.09
UNIPROT_AC:A0A0C4DGH8	UNIPROT_AC:Q81UI7	0.0
UNIPROT_AC:Q8TBD8	UNIPROT_AC:P03120	0.0
UNIPROT_AC:O14744	UNIPROT_AC:P03129	0.1575
UNIPROT_AC:Q9UHI6	UNIPROT_AC:P05780	0.06
UNIPROT_AC:Q75WM6	UNIPROT_AC:P03427	0.06
UNIPROT_AC:Q96IK5	UNIPROT_AC:Q12259	0.07
UNIPROT_AC:D3Z6P0	UNIPROT_AC:Q9DGW5	0.08
UNIPROT_AC:Q96PV7	UNIPROT_AC:Q1HVJ2	0.02
UNIPROT_AC:Q9H9B1	UNIPROT_AC:Q8D1A1	0.0925
UNIPROT_AC:A8KAI3	UNIPROT_AC:Q5NH21	0.04
UNIPROT_AC:Q9BVW5	UNIPROT_AC:P36778	0.06
UNIPROT_AC:Q9H6S1	UNIPROT_AC:P14335	0.0375
UNIPROT_AC:A0A024R1P7	UNIPROT_AC:Q8ZJJ5	0.03
UNIPROT_AC:P23396	UNIPROT_AC:P36801	0.09
UNIPROT_AC:P23526	UNIPROT_AC:B4URF6	0.02
UNIPROT_AC:Q13263	UNIPROT_AC:Q05322	0.025
UNIPROT_AC:P15336	UNIPROT_AC:P0C746	0.045
UNIPROT_AC:P29218	UNIPROT_AC:Q9Y8G3	0.045
UNIPROT_AC:Q9UBP4	UNIPROT_AC:P0CK48	0.01
UNIPROT_AC:O35547	UNIPROT_AC:Q6UK10	0.0575
UNIPROT_AC:A6Z5Z1	UNIPROT_AC:Q81YS7	0.085
UNIPROT_AC:Q96B01	UNIPROT_AC:P05780	0.045
UNIPROT_AC:Q9UN42	UNIPROT_AC:Q67296	0.055
UNIPROT_AC:Q9BYI3	UNIPROT_AC:Q82506	0.06
UNIPROT_AC:Q8NH60	UNIPROT_AC:Q89268	0.03
UNIPROT_AC:Q9H307	UNIPROT_AC:P04608	0.14
UNIPROT_AC:Q969H9	UNIPROT_AC:P04618	0.0
UNIPROT_AC:Q86VP1	UNIPROT_AC:P14079	0.09
UNIPROT_AC:G3V1D7	UNIPROT_AC:Q56956	0.0
UNIPROT_AC:O15169	UNIPROT_AC:Q7CKA0	0.03
UNIPROT_AC:O00192	UNIPROT_AC:Q1I2B4	0.025
UNIPROT_AC:D6RFE6	UNIPROT_AC:P53930	0.0
UNIPROT_AC:Q13514	UNIPROT_AC:P23293	0.02
UNIPROT_AC:Q53EQ3	UNIPROT_AC:P13711	0.075
UNIPROT_AC:P30153	UNIPROT_AC:P05777	0.0575
UNIPROT_AC:Q1W0W1	UNIPROT_AC:P53278	0.035
UNIPROT_AC:Q15022	UNIPROT_AC:P06932	0.12
UNIPROT_AC:Q05BW8	UNIPROT_AC:Q81TT4	0.035
UNIPROT_AC:O14929	UNIPROT_AC:P12520	0.045
UNIPROT_AC:Q9Y6C9	UNIPROT_AC:P03177	0.02
UNIPROT_AC:Q2M2H8	UNIPROT_AC:P06429	0.03
UNIPROT_AC:Q9FHR7	UNIPROT_AC:P52231	0.0575
UNIPROT_AC:P01583	UNIPROT_AC:Q12060	0.075
UNIPROT_AC:Q6ZV49	UNIPROT_AC:Q7CGC5	0.0
UNIPROT_AC:Q8IXK0	UNIPROT_AC:P03454	0.03
UNIPROT_AC:Q9D112	UNIPROT_AC:P03126	0.0
UNIPROT_AC:Q96DS6	UNIPROT_AC:B4URF7	0.01
UNIPROT_AC:Q6Q0C1	UNIPROT_AC:Q3SBS5	0.04
UNIPROT_AC:Q59FB7	UNIPROT_AC:P36817	0.0
UNIPROT_AC:Q8IV08	UNIPROT_AC:P0C739	0.03
UNIPROT_AC:Q96JQ5	UNIPROT_AC:P04544	0.01
UNIPROT_AC:Q9R1W3	UNIPROT_AC:P03129	0.045
UNIPROT_AC:Q13492	UNIPROT_AC:Q8ZA84	0.06
UNIPROT_AC:Q8N1K5	UNIPROT_AC:Q74XD3	0.06
UNIPROT_AC:P16220	UNIPROT_AC:Q9DGW5	0.1925
UNIPROT_AC:P48444	UNIPROT_AC:P68978	0.03
UNIPROT_AC:Q3T8J9	UNIPROT_AC:P05780	0.045
UNIPROT_AC:Q96AA8	UNIPROT_AC:Q1HVD1	0.035
UNIPROT_AC:Q6N069	UNIPROT_AC:P03070	0.115
UNIPROT_AC:O15205	UNIPROT_AC:P38886	0.085
UNIPROT_AC:Q96CB5	UNIPROT_AC:Q2KRY6	0.015
UNIPROT_AC:Q9D3J5	UNIPROT_AC:P04591	0.0
UNIPROT_AC:P61026	UNIPROT_AC:P15682	0.03
UNIPROT_AC:Q86V63	UNIPROT_AC:Q7CGI0	0.0
UNIPROT_AC:P05023	UNIPROT_AC:P06927	0.09
UNIPROT_AC:Q9BT67	UNIPROT_AC:B4URF7	0.125
UNIPROT_AC:Q13243	UNIPROT_AC:B4URF1	0.0425
UNIPROT_AC:Q8IZ52	UNIPROT_AC:B9UPF3	0.065
UNIPROT_AC:Q96EP0	UNIPROT_AC:Q81S59	0.03
UNIPROT_AC:O14818	UNIPROT_AC:P04608	0.13
UNIPROT_AC:F5H726	UNIPROT_AC:Q7CHV2	0.03
UNIPROT_AC:Q92922	UNIPROT_AC:P05777	0.04
UNIPROT_AC:A0A0K0KR38	UNIPROT_AC:P03428	0.0375
UNIPROT_AC:P0DO97	UNIPROT_AC:Q0HD54	0.0
UNIPROT_AC:P12724	UNIPROT_AC:P0C737	0.02
UNIPROT_AC:P06748	UNIPROT_AC:Q1I2B5	0.0275
UNIPROT_AC:Q9UKV5	UNIPROT_AC:B9UPF3	0.055
UNIPROT_AC:Q8NGP0	UNIPROT_AC:P04608	0.03
UNIPROT_AC:Q86UJ1	UNIPROT_AC:Q7CGN6	0.08
UNIPROT_AC:P80188	UNIPROT_AC:P36778	0.045
UNIPROT_AC:P21912	UNIPROT_AC:Q2PJP1	0.025
UNIPROT_AC:Q8NE09	UNIPROT_AC:F5HCJ2	0.0275
UNIPROT_AC:Q8IYA7	UNIPROT_AC:P03079	0.0225
UNIPROT_AC:P14866	UNIPROT_AC:Q99AU3	0.0725
UNIPROT_AC:H0YEX1	UNIPROT_AC:Q7CGJ8	0.0675
UNIPROT_AC:Q8TBB1	UNIPROT_AC:Q1HVJ2	0.01
UNIPROT_AC:Q9BZW7	UNIPROT_AC:P04544	0.04
UNIPROT_AC:O60942	UNIPROT_AC:P04608	0.07
UNIPROT_AC:D3DQT1	UNIPROT_AC:Q8CZU2	0.01
UNIPROT_AC:Q9P2E9	UNIPROT_AC:P15682	0.0275
UNIPROT_AC:Q16401	UNIPROT_AC:P33299	0.2375
UNIPROT_AC:P82912	UNIPROT_AC:B4URF1	0.0425
UNIPROT_AC:Q15569	UNIPROT_AC:P05777	0.03
UNIPROT_AC:P13498	UNIPROT_AC:P04413	0.09
UNIPROT_AC:Q5J8M3	UNIPROT_AC:P04487	0.04
UNIPROT_AC:P51690	UNIPROT_AC:P14079	0.045
UNIPROT_AC:A0A089G7G9	UNIPROT_AC:Q5NIJ6	0.03
UNIPROT_AC:Q7Z4B0	UNIPROT_AC:P03215	0.02
UNIPROT_AC:Q9UER7	UNIPROT_AC:B9VQC5	0.07
UNIPROT_AC:P15151	UNIPROT_AC:P03301	0.05
UNIPROT_AC:C6GLR6	UNIPROT_AC:Q7CHI6	0.0
UNIPROT_AC:Q5VTE0	UNIPROT_AC:P06429	0.07
UNIPROT_AC:P08729	UNIPROT_AC:P06428	0.03
UNIPROT_AC:O43490	UNIPROT_AC:P06465	0.055
UNIPROT_AC:D3VVG9	UNIPROT_AC:Q7CHV2	0.0525
UNIPROT_AC:Q9UKW6	UNIPROT_AC:B9UPF3	0.01
UNIPROT_AC:B3KWH0	UNIPROT_AC:Q12404	0.0275
UNIPROT_AC:P50294	UNIPROT_AC:P06931	0.03
UNIPROT_AC:P62750	UNIPROT_AC:Q2PJP0	0.045
UNIPROT_AC:O95302	UNIPROT_AC:P04499	0.09
UNIPROT_AC:P42262	UNIPROT_AC:P04487	0.06
UNIPROT_AC:P19012	UNIPROT_AC:P36009	0.05
UNIPROT_AC:P43243	UNIPROT_AC:B2BUF1	0.07
UNIPROT_AC:Q9Y3Q3	UNIPROT_AC:P05780	0.06
UNIPROT_AC:O00571	UNIPROT_AC:P04620	0.1075
UNIPROT_AC:P62899	UNIPROT_AC:B4URF1	0.0425
UNIPROT_AC:O00743	UNIPROT_AC:B4URF7	0.06
UNIPROT_AC:I3L442	UNIPROT_AC:Q81KT8	0.0
UNIPROT_AC:Q9UNY5	UNIPROT_AC:P03508	0.055
UNIPROT_AC:Q16484	UNIPROT_AC:Q5NG53	0.0
UNIPROT_AC:Q96TB3	UNIPROT_AC:P27466	0.01
UNIPROT_AC:D3WYY2	UNIPROT_AC:P03120	0.0275
UNIPROT_AC:P15822	UNIPROT_AC:A6YJF2	0.025
UNIPROT_AC:H3BNH8	UNIPROT_AC:Q5NFN7	0.025
UNIPROT_AC:Q70EK8	UNIPROT_AC:Q8CZX0	0.0075
UNIPROT_AC:F8VWW9	UNIPROT_AC:P32769	0.01
UNIPROT_AC:P23458	UNIPROT_AC:P0CK48	0.02
UNIPROT_AC:P34932	UNIPROT_AC:Q1HVI8	0.0325
UNIPROT_AC:Q15942	UNIPROT_AC:O92551	0.17
UNIPROT_AC:P68104	UNIPROT_AC:A8E1C4	0.06
UNIPROT_AC:Q96G75	UNIPROT_AC:P04618	0.0
UNIPROT_AC:Q0PHP6	UNIPROT_AC:P38340	0.03
UNIPROT_AC:Q9Y6N5	UNIPROT_AC:Q1HVD1	0.105
UNIPROT_AC:Q96KT6	UNIPROT_AC:P06821	0.0
UNIPROT_AC:H9BIC6	UNIPROT_AC:Q8CZH6	0.03
UNIPROT_AC:P0CG48	UNIPROT_AC:P39976	0.06
UNIPROT_AC:P19474	UNIPROT_AC:P10225	0.115
UNIPROT_AC:P60413	UNIPROT_AC:P19811	0.01
UNIPROT_AC:Q9UNS2	UNIPROT_AC:Q77YF9	0.035
UNIPROT_AC:O60508	UNIPROT_AC:Q194T2	0.055
UNIPROT_AC:Q6ZTK2	UNIPROT_AC:P0C739	0.0
UNIPROT_AC:Q6T4R5	UNIPROT_AC:P0C1C7	0.02
UNIPROT_AC:Q969Z0	UNIPROT_AC:P05919	0.0775
UNIPROT_AC:A6NI61	UNIPROT_AC:P04608	0.0325
UNIPROT_AC:P40763	UNIPROT_AC:P27958	0.18
UNIPROT_AC:Q86SG2	UNIPROT_AC:P06921	0.025
UNIPROT_AC:A6NCI4	UNIPROT_AC:F5HAM0	0.015
UNIPROT_AC:Q5SVZ6	UNIPROT_AC:P03470	0.035
UNIPROT_AC:Q9BYV6-2	UNIPROT_AC:P23180	0.0425
UNIPROT_AC:Q2KHM9	UNIPROT_AC:Q20MH0	0.02
UNIPROT_AC:P07437	UNIPROT_AC:P15659	0.0525
UNIPROT_AC:Q4LDE5	UNIPROT_AC:Q5NEE1	0.045
UNIPROT_AC:Q96HR3	UNIPROT_AC:P03454	0.03
UNIPROT_AC:A6NMU1	UNIPROT_AC:P03496	0.0475
UNIPROT_AC:V9H0A3	UNIPROT_AC:Q7CHR8	0.0
UNIPROT_AC:P62854	UNIPROT_AC:P15682	0.03
UNIPROT_AC:A0A023QFT6	UNIPROT_AC:Q5YB85	0.03
UNIPROT_AC:P42858	UNIPROT_AC:P36113	0.06
UNIPROT_AC:Q9JLV1	UNIPROT_AC:Q8AZK7	0.06
UNIPROT_AC:O75330	UNIPROT_AC:P15659	0.04
UNIPROT_AC:O14908	UNIPROT_AC:P06463	0.09
UNIPROT_AC:Q8R001	UNIPROT_AC:Q8AZK7	0.035
UNIPROT_AC:Q9NQC3	UNIPROT_AC:P06927	0.09
UNIPROT_AC:P47755	UNIPROT_AC:Q5NHX0	0.055
UNIPROT_AC:P01023	UNIPROT_AC:Q5NF37	0.05
UNIPROT_AC:Q9Y5H5	UNIPROT_AC:P15659	0.0275
UNIPROT_AC:P11940	UNIPROT_AC:P03454	0.055
UNIPROT_AC:Q9H7R0	UNIPROT_AC:P05780	0.03
UNIPROT_AC:Q9Y5Q8	UNIPROT_AC:O36551	0.01
UNIPROT_AC:Q96H86	UNIPROT_AC:P0CK50	0.01
UNIPROT_AC:Q96S90	UNIPROT_AC:P04585	0.045
UNIPROT_AC:A6NHC0	UNIPROT_AC:P05780	0.03
UNIPROT_AC:P18074	UNIPROT_AC:P04618	0.13
UNIPROT_AC:Q9H8H2	UNIPROT_AC:P0C6Z3	0.01
UNIPROT_AC:Q96FW1	UNIPROT_AC:Q05608	0.085
UNIPROT_AC:Q02878	UNIPROT_AC:P06429	0.075
UNIPROT_AC:Q9H251	UNIPROT_AC:P36827	0.0575
UNIPROT_AC:Q53SF7	UNIPROT_AC:P03470	0.03
UNIPROT_AC:O00308	UNIPROT_AC:P13285	0.0725
UNIPROT_AC:M9P985	UNIPROT_AC:Q8ZA84	0.0325
UNIPROT_AC:B3KRH9	UNIPROT_AC:Q7CKH8	0.0
UNIPROT_AC:A3KC71	UNIPROT_AC:Q12344	0.01
UNIPROT_AC:P49716	UNIPROT_AC:Q2HRD4	0.01
UNIPROT_AC:P52798	UNIPROT_AC:P03427	0.055
UNIPROT_AC:Q9NUL3	UNIPROT_AC:P04608	0.06
UNIPROT_AC:Q5PQS5	UNIPROT_AC:P03070	0.01
UNIPROT_AC:A0A109VDX9	UNIPROT_AC:Q7CGD9	0.01
UNIPROT_AC:O76100	UNIPROT_AC:P06423	0.03
UNIPROT_AC:O43866	UNIPROT_AC:Q8D1N0	0.0575
UNIPROT_AC:B7ZM71	UNIPROT_AC:P39682	0.13
UNIPROT_AC:Q8BGJ9	UNIPROT_AC:Q8AZK7	0.04
UNIPROT_AC:Q8N6L0	UNIPROT_AC:Q12259	0.07
UNIPROT_AC:B9EIK3	UNIPROT_AC:P41940	0.0
UNIPROT_AC:P17787	UNIPROT_AC:P03496	0.165
UNIPROT_AC:P06400	UNIPROT_AC:P03070	0.155
UNIPROT_AC:Q12906	UNIPROT_AC:P05777	0.11
UNIPROT_AC:P01748	UNIPROT_AC:Q8AZK7	0.025
UNIPROT_AC:A0A0F7NGH0	UNIPROT_AC:Q5NEC0	0.03
UNIPROT_AC:Q3ULA2	UNIPROT_AC:P0CG63	0.105
UNIPROT_AC:Q16760	UNIPROT_AC:Q1HVI8	0.0525
UNIPROT_AC:P10746	UNIPROT_AC:P03433	0.09
UNIPROT_AC:Q91XA5	UNIPROT_AC:P69721	0.0225
UNIPROT_AC:Q12849	UNIPROT_AC:P15659	0.115
UNIPROT_AC:Q564G3	UNIPROT_AC:P03070	0.085
UNIPROT_AC:Q9NYV9	UNIPROT_AC:P03496	0.0475
UNIPROT_AC:P42685	UNIPROT_AC:P36791	0.08
UNIPROT_AC:P10276	UNIPROT_AC:P03206	0.2
